Source;Target;TypeLien;Weight
AudeMirkovic;y_a_de_la_Joie_;Partage;10
RichardHilton15;AudeMirkovic;Partage;10
albdmt;RichardHilton15;Partage;10
albdmt;AlexandreGTKS;Follow;0.1
albdmt;MeeschaertL;Follow;0.1
albdmt;larochebaptiste;Follow;0.1
albdmt;victorchabert1;Follow;0.1
albdmt;MeldenerVictor;Follow;0.1
albdmt;YvarsPatrick;Follow;0.1
albdmt;Reconquete_Actu;Follow;0.1
albdmt;GagnieuHugo;Follow;0.1
albdmt;renaissancePaca;Follow;0.1
albdmt;ClemdeLongraye;Follow;0.1
albdmt;cestmoitim;Follow;0.1
albdmt;OuvryDiane;Follow;0.1
albdmt;BdelaChesnais;Follow;0.1
albdmt;PatrioteEngager;Follow;0.1
albdmt;Erwan_btd_972;Follow;0.1
albdmt;ChristelleMeral;Follow;0.1
albdmt;philippeizraele;Follow;0.1
albdmt;Fleroy64;Follow;0.1
albdmt;SouchonPaul;Follow;0.1
albdmt;G_Peltier;Follow;0.1
albdmt;Bruno_Attal_;Follow;0.1
albdmt;MatthDes;Follow;0.1
albdmt;FDOZemmour;Follow;0.1
albdmt;Reconquete_off;Follow;0.1
albdmt;tanguy_france;Follow;0.1
albdmt;ConseilDenc;Follow;0.1
albdmt;GarenShn;Follow;0.1
albdmt;SaphoraSmith;Follow;0.1
albdmt;GauthierBret;Follow;0.1
albdmt;L_heguiaphal;Follow;0.1
albdmt;lea_demirdjian;Follow;0.1
albdmt;Livrenoirmedia;Follow;0.1
albdmt;LaCroix;Follow;0.1
albdmt;DamienRieu;Follow;0.1
albdmt;NelsonGetten;Follow;0.1
albdmt;LudovicaGiobbe;Follow;0.1
albdmt;jeromebesnard;Follow;0.1
albdmt;FemmesZemmour;Follow;0.1
albdmt;JulesTorres17;Follow;0.1
albdmt;KatalinNovakMP;Follow;0.1
albdmt;AntoineDiers;Follow;0.1
albdmt;Louis_Morin;Follow;0.1
albdmt;stanislasrig;Follow;0.1
albdmt;GenerationZ_off;Follow;0.1
albdmt;gononguillermas;Follow;0.1
albdmt;UbOliver;Follow;0.1
albdmt;2emehussards;Follow;0.1
albdmt;knafo_sarah;Follow;0.1
albdmt;ZemmourEric;Follow;0.1
albdmt;LesZemmour;Follow;0.1
albdmt;vfahandezh;Follow;0.1
albdmt;arnoboutheon;Follow;0.1
albdmt;B_Duchatelet;Follow;0.1
albdmt;CerclePouchkine;Follow;0.1
albdmt;LaUne_tv;Follow;0.1
albdmt;MgrDenisMOUTEL;Follow;0.1
albdmt;chdemeyer;Follow;0.1
albdmt;MonnierThibaut;Follow;0.1
albdmt;DubiefMarc;Follow;0.1
albdmt;DiBrunel;Follow;0.1
albdmt;DIVIZIO1;Follow;0.1
albdmt;AdePuyfontaine;Follow;0.1
albdmt;heloise_dn;Follow;0.1
albdmt;pierremarieseve;Follow;0.1
albdmt;cdll_esm;Follow;0.1
albdmt;antoine27955080;Follow;0.1
albdmt;SDECREPS;Follow;0.1
albdmt;PereTeixeira;Follow;0.1
albdmt;ChdOrnellas;Follow;0.1
albdmt;AmauryBucco;Follow;0.1
albdmt;PLebeault;Follow;0.1
albdmt;VASSEURARNAUD;Follow;0.1
albdmt;PompiersParis;Follow;0.1
albdmt;Philippe_Goujon;Follow;0.1
albdmt;PaulSugy;Follow;0.1
albdmt;LaurentFremnt;Follow;0.1
albdmt;phfouchier;Follow;0.1
albdmt;AlexDevecchio;Follow;0.1
albdmt;yannick_yannic1;Follow;0.1
albdmt;sara_canals;Follow;0.1
albdmt;spilard;Follow;0.1
albdmt;bretonxavier;Follow;0.1
albdmt;LaPoitou;Follow;0.1
albdmt;duisimbekova;Follow;0.1
albdmt;abbechartier;Follow;0.1
albdmt;Europe1;Follow;0.1
albdmt;IamBarbaraKlein;Follow;0.1
albdmt;AdrienBaget;Follow;0.1
albdmt;cleliemathias;Follow;0.1
albdmt;Sfaxi_Sami;Follow;0.1
albdmt;BernardThellier;Follow;0.1
albdmt;GeorgesFENECH;Follow;0.1
albdmt;BrieucClr;Follow;0.1
albdmt;Jean_DAlbret;Follow;0.1
albdmt;BdeLapasse;Follow;0.1
albdmt;craffalli;Follow;0.1
albdmt;manifpourtous22;Follow;0.1
albdmt;LoysdeP;Follow;0.1
albdmt;GSacaze;Follow;0.1
albdmt;MdeMariePele;Follow;0.1
albdmt;JoThouvenel;Follow;0.1
albdmt;CBernardins;Follow;0.1
albdmt;lmpt63;Follow;0.1
albdmt;fdevoyer;Follow;0.1
albdmt;galon7733;Follow;0.1
albdmt;__Lenzz__;Follow;0.1
albdmt;MgrMRouge;Follow;0.1
albdmt;VilleduChesnayR;Follow;0.1
albdmt;InesDeRaguenel;Follow;0.1
albdmt;BernardEmie;Follow;0.1
albdmt;Antho_Repartie;Follow;0.1
