Source;Target;TypeLien;Weight;AverageHash
noe22349;InformateurDab;Partage;1;0000001cffffffff
noe22349;B07099405;Follow;0.1;
noe22349;ResistantBase;Follow;0.1;
noe22349;droite_sensee;Follow;0.1;
noe22349;stanislasrig;Follow;0.1;
noe22349;ManifPourTous59;Follow;0.1;
noe22349;BarbaraMazieres;Follow;0.1;
noe22349;journalPresent;Follow;0.1;
noe22349;ArjPascal;Follow;0.1;
noe22349;oliviertdb;Follow;0.1;
noe22349;Le_blog_d_HB;Follow;0.1;
noe22349;Marchonsenfant;Follow;0.1;
noe22349;espritdefamille;Follow;0.1;
noe22349;AFCdu94;Follow;0.1;
noe22349;CarolineRoux1;Follow;0.1;
noe22349;christineboutin;Follow;0.1;
noe22349;YvesPDB;Follow;0.1;
noe22349;ManifPourTous85;Follow;0.1;
noe22349;LMPTMaroc;Follow;0.1;
noe22349;pbaucheron;Follow;0.1;
noe22349;ManifPourTous49;Follow;0.1;
noe22349;manifpourtous83;Follow;0.1;
noe22349;LMPT57;Follow;0.1;
noe22349;Manifpourtous74;Follow;0.1;
noe22349;manifpourtous22;Follow;0.1;
noe22349;Francoiszero2;Follow;0.1;
noe22349;antoinne92;Follow;0.1;
noe22349;LMPT53;Follow;0.1;
noe22349;manifpourtous91;Follow;0.1;
noe22349;manifpourtous31;Follow;0.1;
noe22349;VitaJeunes;Follow;0.1;
noe22349;FrontPopOff;Follow;0.1;
noe22349;Boris9999999;Follow;0.1;
noe22349;crist_va;Follow;0.1;
noe22349;CollectifPeres;Follow;0.1;
noe22349;jylegis2017;Follow;0.1;
noe22349;LesConservateur;Follow;0.1;
noe22349;mh_flo;Follow;0.1;
noe22349;LMPT44;Follow;0.1;
noe22349;InformateurDab;Follow;0.1;
noe22349;Enfantdabord2;Follow;0.1;
noe22349;LaManifPrTous37;Follow;0.1;
noe22349;jylgallou;Follow;0.1;
noe22349;lmptlr;Follow;0.1;
noe22349;remseeks;Follow;0.1;
noe22349;OnNaQuUneMaman;Follow;0.1;
noe22349;cpdh_eu;Follow;0.1;
noe22349;lmpt63;Follow;0.1;
noe22349;lmpt69;Follow;0.1;
noe22349;MPTOnlacherien;Follow;0.1;
InformateurDab;noe22349;Partage;1;0000001cffffffff
Daguethd;beige_salon;Follow;0.1;
Daguethd;LMPT44;Follow;0.1;
Daguethd;2eme_DB;Follow;0.1;
Daguethd;FrontPopOff;Follow;0.1;
Daguethd;InformateurDab;Follow;0.1;
Daguethd;CollectifPeres;Follow;0.1;
Daguethd;VitaJeunes;Follow;0.1;
Daguethd;PascalGMICHEL;Follow;0.1;
Daguethd;Andrgilles1;Follow;0.1;
Daguethd;Eperviet;Follow;0.1;
Daguethd;stanislasrig;Follow;0.1;
Daguethd;mahtfrid;Follow;0.1;
Daguethd;LaManifPrTous37;Follow;0.1;
Daguethd;SJallamion;Follow;0.1;
Daguethd;Genethique;Follow;0.1;
Daguethd;PGannat;Follow;0.1;
Daguethd;AbdelSansLeB;Follow;0.1;
Daguethd;ChTailllebois;Follow;0.1;
Daguethd;Hmontmirail;Follow;0.1;
Daguethd;Francoiszero2;Follow;0.1;
Daguethd;OliberBox;Follow;0.1;
Daguethd;krunch_fr;Follow;0.1;
Daguethd;procedit;Follow;0.1;
Daguethd;teppdude;Follow;0.1;
Daguethd;jylgallou;Follow;0.1;
Daguethd;Chambssy;Follow;0.1;
Daguethd;Romain1571;Follow;0.1;
Daguethd;fredericmajau;Follow;0.1;
Daguethd;thibauddP;Follow;0.1;
Daguethd;Crespinbruno;Follow;0.1;
Daguethd;rc37000;Follow;0.1;
Daguethd;Barberis888;Follow;0.1;
Daguethd;pbaucheron;Follow;0.1;
Daguethd;AudeMirkovic;Follow;0.1;
Daguethd;OFrancois60200;Follow;0.1;
Daguethd;FrancoisTaloi;Follow;0.1;
Daguethd;espritdefamille;Follow;0.1;
Daguethd;salefran;Follow;0.1;
Daguethd;OryxT;Follow;0.1;
Daguethd;tof92130;Follow;0.1;
Daguethd;Prolotwitto;Follow;0.1;
Daguethd;C_Pantalon;Follow;0.1;
Daguethd;barkanos;Follow;0.1;
Daguethd;fenotteenragee;Follow;0.1;
Daguethd;journalPresent;Follow;0.1;
Daguethd;Hervemanche;Follow;0.1;
Daguethd;MPTOnlacherien;Follow;0.1;
Daguethd;fxperes;Follow;0.1;
Daguethd;pauladusud;Follow;0.1;
Daguethd;remseeks;Follow;0.1;
Daguethd;manifpourtous83;Follow;0.1;
Daguethd;Mersuay;Follow;0.1;
Daguethd;Sentinelles16;Follow;0.1;
Daguethd;Le_blog_d_HB;Follow;0.1;
Daguethd;LMPT53;Follow;0.1;
Daguethd;LMPT75;Follow;0.1;
Daguethd;MereTapdur;Follow;0.1;
Daguethd;YvesPDB;Follow;0.1;
Daguethd;FrkLaBaule;Follow;0.1;
Daguethd;manifpourtous92;Follow;0.1;
Daguethd;dematkiki;Follow;0.1;
Daguethd;PrintempsFrance;Follow;0.1;
Daguethd;allianceVITA;Follow;0.1;
Daguethd;Sentinelles_fr;Follow;0.1;
Daguethd;albdmt;Follow;0.1;
Daguethd;CarolineRoux1;Follow;0.1;
Daguethd;christineboutin;Follow;0.1;
Daguethd;PhilippeOswald;Follow;0.1;
Daguethd;lmpt69;Follow;0.1;
Daguethd;LaManifPourTous;Follow;0.1;
Daguethd;Valeurs;Follow;0.1;
LN_Hec;Djokkor;Partage;1;0000263e7ffee000
Rpr5019;LN_Hec;Partage;1;0000263e7ffee000
resistance3522;Rpr5019;Partage;1;0000263e7ffee000
resistance3522;Valeurs;Follow;0.1;
resistance3522;manifpourtous91;Follow;0.1;
resistance3522;LMPT57;Follow;0.1;
resistance3522;OnNaQuUneMaman;Follow;0.1;
