Source;Target;LinkType;Weight;AverageHash;Sha1;Category
InformateurDab;LaManifPourTous;follow;0.1;None;None; None
InformateurDab;LesConservateur;follow;0.2;None;None; None
InformateurDab;noe22349;follow;0.1;None;None; None
InformateurDab;OnNaQuUneMaman;follow;0.2;None;None; None
InformateurDab;LaManifPrTous37;follow;0.2;None;None; None
InformateurDab;LMPT75;follow;0.1;None;None; None
InformateurDab;MichelNicolasA1;follow;0.1;None;None; None
InformateurDab;MarcPiguel;follow;0.2;None;None; None
InformateurDab;LeonTologue;follow;0.2;None;None; None
InformateurDab;jocelynchereau;follow;0.1;None;None; None
LaManifPourTous;noe22349;follow;0.1;None;None; None
LMPT75;noe22349;follow;0.1;None;None; None
albdmt;noe22349;follow;0.1;None;None; None
Daguethd;journalPresent;follow;0.1;None;None; None
Daguethd;VitaJeunes;follow;0.1;None;None; None
Daguethd;mahtfrid;follow;0.1;None;None; None
Daguethd;procedit;follow;0.1;None;None; None
Daguethd;YvesPDB;follow;0.1;None;None; None
Daguethd;teppdude;follow;0.1;None;None; None
Daguethd;Prolotwitto;follow;0.1;None;None; None
Daguethd;manifpourtous83;follow;0.1;None;None; None
Daguethd;Le_blog_d_HB;follow;0.1;None;None; None
Daguethd;FrontPopOff;follow;0.1;None;None; None
Daguethd;pbaucheron;follow;0.1;None;None; None
Daguethd;OliberBox;follow;0.1;None;None; None
Daguethd;MereTapdur;follow;0.2;None;None; None
Daguethd;dematkiki;follow;0.1;None;None; None
Daguethd;allianceVITA;follow;0.1;None;None; None
Daguethd;barkanos;follow;0.1;None;None; None
Daguethd;InformateurDab;follow;0.1;None;None; None
Daguethd;Hmontmirail;follow;0.1;None;None; None
Daguethd;PGannat;follow;0.1;None;None; None
Daguethd;beige_salon;follow;0.1;None;None; None
Daguethd;espritdefamille;follow;0.2;None;None; None
Daguethd;stanislasrig;follow;0.1;None;None; None
Daguethd;Mersuay;follow;0.1;None;None; None
Daguethd;manifpourtous92;follow;0.1;None;None; None
Daguethd;FrancoisTaloi;follow;0.1;None;None; None
Daguethd;Hervemanche;follow;0.1;None;None; None
Daguethd;pauladusud;follow;0.1;None;None; None
Daguethd;remseeks;follow;0.1;None;None; None
Citadelle29;Daguethd;follow;0.2;None;None; None
Crespinbruno;Daguethd;follow;0.1;None;None; None
Daguethd;Genethique;follow;0.1;None;None; None
Andrgilles1;Daguethd;follow;0.2;None;None; None
Daguethd;Sentinelles16;follow;0.1;None;None; None
Daguethd;LaManifPourTous;follow;0.1;None;None; None
Daguethd;thibauddP;follow;0.1;None;None; None
Chambssy;Daguethd;follow;0.2;None;None; None
Daguethd;christineboutin;follow;0.1;None;None; None
Daguethd;crist_va;follow;0.1;None;None; None
Daguethd;LaManifPrTous37;follow;0.2;None;None; None
Daguethd;jylgallou;follow;0.1;None;None; None
Daguethd;fredericmajau;follow;0.2;None;None; None
CollectifPeres;Daguethd;follow;0.2;None;None; None
Daguethd;Francoiszero2;follow;0.2;None;None; None
Daguethd;PrintempsFrance;follow;0.1;None;None; None
Barberis888;Daguethd;follow;0.2;None;None; None
Daguethd;salefran;follow;0.1;None;None; None
Daguethd;LMPT53;follow;0.1;None;None; None
Daguethd;OryxT;follow;0.1;None;None; None
Daguethd;fenotteenragee;follow;0.2;None;None; None
AudeMirkovic;Daguethd;follow;0.1;None;None; None
Daguethd;fxperes;follow;0.1;None;None; None
Daguethd;albdmt;follow;0.1;None;None; None
Daguethd;PascalGMICHEL;follow;0.1;None;None; None
Daguethd;MPTOnlacherien;follow;0.1;None;None; None
ChTailllebois;Daguethd;follow;0.1;None;None; None
Daguethd;SJallamion;follow;0.1;None;None; None
Daguethd;lmpt69;follow;0.1;None;None; None
Daguethd;OFrancois60200;follow;0.2;None;None; None
Daguethd;Valeurs;follow;0.1;None;None; None
Daguethd;buchermdm;follow;0.1;None;None; None
Daguethd;tof92130;follow;0.2;None;None; None
Daguethd;PhilippeOswald;follow;0.1;None;None; None
CarolineRoux1;Daguethd;follow;0.1;None;None; None
Daguethd;krunch_fr;follow;0.1;None;None; None
Daguethd;LMPT75;follow;0.1;None;None; None
C_Pantalon;Daguethd;follow;0.1;None;None; None
Daguethd;rc37000;follow;0.2;None;None; None
AbdelSansLeB;Daguethd;follow;0.1;None;None; None
Daguethd;Sentinelles_fr;follow;0.1;None;None; None
Daguethd;Romain1571;follow;0.1;None;None; None
Daguethd;FrkLaBaule;follow;0.2;None;None; None
Daguethd;LMPT44;follow;0.2;None;None; None
Daguethd;Eperviet;follow;0.2;None;None; None
2eme_DB;Daguethd;follow;0.2;None;None; None
LN_Hec;VitaJeunes;follow;0.2;None;None; None
Djokkor;LN_Hec;follow;0.1;None;None; None
LN_Hec;gregoire_jahan;follow;0.1;None;None; None
FrontPopOff;LN_Hec;follow;0.1;None;None; None
LN_Hec;allianceVITA;follow;0.1;None;None; None
LN_Hec;LesConservateur;follow;0.2;None;None; None
LN_Hec;stanislasrig;follow;0.1;None;None; None
LN_Hec;miss7terre;follow;0.2;None;None; None
Genethique;LN_Hec;follow;0.1;None;None; None
LN_Hec;LaManifPourTous;follow;0.1;None;None; None
LN_Hec;christineboutin;follow;0.1;None;None; None
LN_Hec;jylgallou;follow;0.1;None;None; None
LN_Hec;salefran;follow;0.1;None;None; None
HenrideSoos;LN_Hec;follow;0.1;None;None; None
LN_Hec;LilliCapucine;follow;0.2;None;None; None
AudeMirkovic;LN_Hec;follow;0.1;None;None; None
LN_Hec;fxperes;follow;0.1;None;None; None
LN_Hec;albdmt;follow;0.1;None;None; None
LN_Hec;_Marie_Vince;follow;0.2;None;None; None
LN_Hec;Valeurs;follow;0.1;None;None; None
CarolineRoux1;LN_Hec;follow;0.1;None;None; None
LMPT75;LN_Hec;follow;0.1;None;None; None
LN_Hec;ben2l;follow;0.2;None;None; None
MPTOnlacherien;Rpr5019;follow;0.1;None;None; None
Rpr5019;erybbbs;follow;0.1;None;None; None
BarbaraMazieres;resistance3522;follow;0.1;None;None; None
allianceVITA;resistance3522;follow;0.1;None;None; None
SALONJP;resistance3522;follow;0.1;None;None; None
remseeks;resistance3522;follow;0.1;None;None; None
manifpourtous91;resistance3522;follow;0.1;None;None; None
lmptlr;resistance3522;follow;0.2;None;None; None
LaManifPourTous;resistance3522;follow;0.1;None;None; None
OnNaQuUneMaman;resistance3522;follow;0.2;None;None; None
ManifPourTous89;resistance3522;follow;0.1;None;None; None
ManifPourTous49;resistance3522;follow;0.2;None;None; None
fenotteenragee;resistance3522;follow;0.1;None;None; None
AudeMirkovic;resistance3522;follow;0.1;None;None; None
albdmt;resistance3522;follow;0.1;None;None; None
fxperes;resistance3522;follow;0.1;None;None; None
LMPT57;resistance3522;follow;0.1;None;None; None
colerenoire;resistance3522;follow;0.1;None;None; None
Valeurs;resistance3522;follow;0.1;None;None; None
lmpt69;resistance3522;follow;0.1;None;None; None
LMPT75;resistance3522;follow;0.1;None;None; None
Sentinelles_fr;resistance3522;follow;0.1;None;None; None
LMPT44;resistance3522;follow;0.1;None;None; None
MPTOnlacherien;resistance3522;follow;0.1;None;None; None
mfgiraud;popoche69008;follow;0.2;None;None; None
PaulTelavi;mfgiraud;follow;0.1;None;None; None
OliberBox;mfgiraud;follow;0.2;None;None; None
MereTapdur;mfgiraud;follow;0.1;None;None; None
JstLangevin;mfgiraud;follow;0.2;None;None; None
EvelyneYant94;mfgiraud;follow;0.2;None;None; None
LaManifPourTous;mfgiraud;follow;0.1;None;None; None
jylgallou;mfgiraud;follow;0.1;None;None; None
mfgiraud;ops78v;follow;0.2;None;None; None
LeaMidene;mfgiraud;follow;0.2;None;None; None
lmpt63;mfgiraud;follow;0.1;None;None; None
FranoisLeFranc3;mfgiraud;follow;0.1;None;None; None
Civitas_;mfgiraud;follow;0.1;None;None; None
Info3Re;mfgiraud;follow;0.2;None;None; None
ArmelJahan;mfgiraud;follow;0.1;None;None; None
mfgiraud;piert83;follow;0.1;None;None; None
Mazenod10;mfgiraud;follow;0.1;None;None; None
mfgiraud;trenteet1;follow;0.2;None;None; None
claviedidier;mfgiraud;follow;0.2;None;None; None
journalPresent;vincechil;follow;0.1;None;None; None
ArjPascal;vincechil;follow;0.1;None;None; None
popoche69008;vincechil;follow;0.2;None;None; None
ZOREIL1945;vincechil;follow;0.2;None;None; None
Dromard2;vincechil;follow;0.1;None;None; None
asonimage;vincechil;follow;0.1;None;None; None
pbaucheron;vincechil;follow;0.1;None;None; None
JEANNOTKZ;vincechil;follow;0.2;None;None; None
manifpourtous45;vincechil;follow;0.1;None;None; None
DaViciDaVici;vincechil;follow;0.2;None;None; None
AFCdu94;vincechil;follow;0.2;None;None; None
LisePierr;vincechil;follow;0.2;None;None; None
allianceVITA;vincechil;follow;0.1;None;None; None
josephinemd34;vincechil;follow;0.2;None;None; None
miss7terre;vincechil;follow;0.2;None;None; None
nathalielavi;vincechil;follow;0.2;None;None; None
pauladusud;vincechil;follow;0.1;None;None; None
remseeks;vincechil;follow;0.1;None;None; None
lmptlr;vincechil;follow;0.2;None;None; None
JuristePLE;vincechil;follow;0.1;None;None; None
LaManifPourTous;vincechil;follow;0.1;None;None; None
jylgallou;vincechil;follow;0.1;None;None; None
elisahk92;vincechil;follow;0.2;None;None; None
ManifPourTous49;vincechil;follow;0.2;None;None; None
NPOMMERET;vincechil;follow;0.2;None;None; None
PrintempsFrance;vincechil;follow;0.1;None;None; None
Barberis888;vincechil;follow;0.2;None;None; None
fenotteenragee;vincechil;follow;0.2;None;None; None
albdmt;vincechil;follow;0.2;None;None; None
LMPT57;vincechil;follow;0.2;None;None; None
Info3Re;vincechil;follow;0.2;None;None; None
justelebonsens;vincechil;follow;0.1;None;None; None
SJallamion;vincechil;follow;0.1;None;None; None
Valeurs;vincechil;follow;0.1;None;None; None
mh_flo;vincechil;follow;0.2;None;None; None
antoinne92;vincechil;follow;0.2;None;None; None
tof92130;vincechil;follow;0.2;None;None; None
JeanMarcVILLER;vincechil;follow;0.1;None;None; None
mydaphne;vincechil;follow;0.1;None;None; None
CarolineRoux1;vincechil;follow;0.1;None;None; None
