Source;Target;LinkType;Weight;AverageHash;Sha1;Category
InformateurDab;LaManifPourTous;follow;1;None;None; None
InformateurDab;LesConservateur;follow;2;None;None; None
InformateurDab;noe22349;follow;1;None;None; None
InformateurDab;OnNaQuUneMaman;follow;2;None;None; None
InformateurDab;LaManifPrTous37;follow;2;None;None; None
InformateurDab;LMPT75;follow;1;None;None; None
InformateurDab;MichelNicolasA1;follow;1;None;None; None
InformateurDab;MarcPiguel;follow;2;None;None; None
InformateurDab;LeonTologue;follow;2;None;None; None
InformateurDab;jocelynchereau;follow;1;None;None; None
LaManifPourTous;noe22349;follow;1;None;None; None
LMPT75;noe22349;follow;1;None;None; None
albdmt;noe22349;follow;1;None;None; None
Daguethd;journalPresent;follow;1;None;None; None
Daguethd;VitaJeunes;follow;1;None;None; None
Daguethd;mahtfrid;follow;1;None;None; None
Daguethd;procedit;follow;1;None;None; None
Daguethd;YvesPDB;follow;1;None;None; None
Daguethd;teppdude;follow;1;None;None; None
Daguethd;Prolotwitto;follow;1;None;None; None
Daguethd;manifpourtous83;follow;1;None;None; None
Daguethd;Le_blog_d_HB;follow;1;None;None; None
Daguethd;FrontPopOff;follow;1;None;None; None
Daguethd;pbaucheron;follow;1;None;None; None
Daguethd;OliberBox;follow;1;None;None; None
Daguethd;MereTapdur;follow;2;None;None; None
Daguethd;dematkiki;follow;1;None;None; None
Daguethd;allianceVITA;follow;1;None;None; None
Daguethd;barkanos;follow;1;None;None; None
Daguethd;InformateurDab;follow;1;None;None; None
Daguethd;Hmontmirail;follow;1;None;None; None
Daguethd;PGannat;follow;1;None;None; None
Daguethd;beige_salon;follow;1;None;None; None
Daguethd;espritdefamille;follow;2;None;None; None
Daguethd;stanislasrig;follow;1;None;None; None
Daguethd;Mersuay;follow;1;None;None; None
Daguethd;manifpourtous92;follow;1;None;None; None
Daguethd;FrancoisTaloi;follow;1;None;None; None
Daguethd;Hervemanche;follow;1;None;None; None
Daguethd;pauladusud;follow;1;None;None; None
Daguethd;remseeks;follow;1;None;None; None
Citadelle29;Daguethd;follow;2;None;None; None
Crespinbruno;Daguethd;follow;1;None;None; None
Daguethd;Genethique;follow;1;None;None; None
Andrgilles1;Daguethd;follow;2;None;None; None
Daguethd;Sentinelles16;follow;1;None;None; None
Daguethd;LaManifPourTous;follow;1;None;None; None
Daguethd;thibauddP;follow;1;None;None; None
Chambssy;Daguethd;follow;2;None;None; None
Daguethd;christineboutin;follow;1;None;None; None
Daguethd;crist_va;follow;1;None;None; None
Daguethd;LaManifPrTous37;follow;2;None;None; None
Daguethd;jylgallou;follow;1;None;None; None
Daguethd;fredericmajau;follow;2;None;None; None
CollectifPeres;Daguethd;follow;2;None;None; None
Daguethd;Francoiszero2;follow;2;None;None; None
Daguethd;PrintempsFrance;follow;1;None;None; None
Barberis888;Daguethd;follow;2;None;None; None
Daguethd;salefran;follow;1;None;None; None
Daguethd;LMPT53;follow;1;None;None; None
Daguethd;OryxT;follow;1;None;None; None
Daguethd;fenotteenragee;follow;2;None;None; None
AudeMirkovic;Daguethd;follow;1;None;None; None
Daguethd;fxperes;follow;1;None;None; None
Daguethd;albdmt;follow;1;None;None; None
Daguethd;PascalGMICHEL;follow;1;None;None; None
Daguethd;MPTOnlacherien;follow;1;None;None; None
ChTailllebois;Daguethd;follow;1;None;None; None
Daguethd;SJallamion;follow;1;None;None; None
Daguethd;lmpt69;follow;1;None;None; None
Daguethd;OFrancois60200;follow;2;None;None; None
Daguethd;Valeurs;follow;1;None;None; None
Daguethd;buchermdm;follow;1;None;None; None
Daguethd;tof92130;follow;2;None;None; None
Daguethd;PhilippeOswald;follow;1;None;None; None
CarolineRoux1;Daguethd;follow;1;None;None; None
Daguethd;krunch_fr;follow;1;None;None; None
Daguethd;LMPT75;follow;1;None;None; None
C_Pantalon;Daguethd;follow;1;None;None; None
Daguethd;rc37000;follow;2;None;None; None
AbdelSansLeB;Daguethd;follow;1;None;None; None
Daguethd;Sentinelles_fr;follow;1;None;None; None
Daguethd;Romain1571;follow;1;None;None; None
Daguethd;FrkLaBaule;follow;2;None;None; None
Daguethd;LMPT44;follow;2;None;None; None
Daguethd;Eperviet;follow;2;None;None; None
2eme_DB;Daguethd;follow;2;None;None; None
LN_Hec;VitaJeunes;follow;2;None;None; None
Djokkor;LN_Hec;follow;1;None;None; None
LN_Hec;gregoire_jahan;follow;1;None;None; None
FrontPopOff;LN_Hec;follow;1;None;None; None
LN_Hec;allianceVITA;follow;1;None;None; None
LN_Hec;LesConservateur;follow;2;None;None; None
LN_Hec;stanislasrig;follow;1;None;None; None
LN_Hec;miss7terre;follow;2;None;None; None
Genethique;LN_Hec;follow;1;None;None; None
LN_Hec;LaManifPourTous;follow;1;None;None; None
LN_Hec;christineboutin;follow;1;None;None; None
LN_Hec;jylgallou;follow;1;None;None; None
LN_Hec;salefran;follow;1;None;None; None
HenrideSoos;LN_Hec;follow;1;None;None; None
LN_Hec;LilliCapucine;follow;2;None;None; None
AudeMirkovic;LN_Hec;follow;1;None;None; None
LN_Hec;fxperes;follow;1;None;None; None
LN_Hec;albdmt;follow;1;None;None; None
LN_Hec;_Marie_Vince;follow;2;None;None; None
LN_Hec;Valeurs;follow;1;None;None; None
CarolineRoux1;LN_Hec;follow;1;None;None; None
LMPT75;LN_Hec;follow;1;None;None; None
LN_Hec;ben2l;follow;2;None;None; None
MPTOnlacherien;Rpr5019;follow;1;None;None; None
Rpr5019;erybbbs;follow;1;None;None; None
BarbaraMazieres;resistance3522;follow;1;None;None; None
allianceVITA;resistance3522;follow;1;None;None; None
SALONJP;resistance3522;follow;1;None;None; None
remseeks;resistance3522;follow;1;None;None; None
