Source;Target;LinkType;Weight;AverageHash;Sha1;Category
InformateurDab;noe22349;share;8;0000001cffffffff;None; merchandising_slogan
LN_Hec;Rpr5019;share;1;0000263e7ffee000;None; merchandising_slogan
LN_Hec;resistance3522;share;1;0000263e7ffee000;None; merchandising_slogan
Rpr5019;resistance3522;share;3;0000263e7ffee000;None; merchandising_slogan
LN_Hec;mfgiraud;share;1;0000263e7ffee000;None; merchandising_slogan
Rpr5019;mfgiraud;share;1;0000263e7ffee000;None; merchandising_slogan
mfgiraud;resistance3522;share;1;0000263e7ffee000;None; merchandising_slogan
LN_Hec;vincechil;share;2;0000263e7ffee000;None; merchandising_slogan
Rpr5019;vincechil;share;1;0000263e7ffee000;None; merchandising_slogan
resistance3522;vincechil;share;1;0000263e7ffee000;None; merchandising_slogan
mfgiraud;vincechil;share;1;0000263e7ffee000;None; merchandising_slogan
LN_Hec;elleaime53;share;1;0000263e7ffee000;None; merchandising_slogan
Rpr5019;elleaime53;share;2;0000263e7ffee000;None; merchandising_slogan
elleaime53;resistance3522;share;6;0000263e7ffee000;None; merchandising_slogan
elleaime53;mfgiraud;share;1;0000263e7ffee000;None; merchandising_slogan
elleaime53;vincechil;share;2;0000263e7ffee000;None; merchandising_slogan
AllianceVITA63;LN_Hec;share;1;0000263e7ffee000;None; merchandising_slogan
AllianceVITA63;Rpr5019;share;1;0000263e7ffee000;None; merchandising_slogan
AllianceVITA63;resistance3522;share;2;0000263e7ffee000;None; merchandising_slogan
AllianceVITA63;mfgiraud;share;1;0000263e7ffee000;None; merchandising_slogan
AllianceVITA63;vincechil;share;1;0000263e7ffee000;None; merchandising_slogan
AllianceVITA63;elleaime53;share;1;0000263e7ffee000;None; merchandising_slogan
GennoEmma;kasteel_mc;share;1;00004e5e7e7e7c40;None; merchandising_kids
antoinne92;jechu00;share;1;0003330301727ffe;None; shopping_kart_baby
antoinne92;tof92130;share;1;0003330301727ffe;None; shopping_kart_baby
jechu00;tof92130;share;1;0003330301727ffe;None; shopping_kart_baby
antoinne92;resistance3522;share;9;0003330301727ffe;None; shopping_kart_baby
jechu00;resistance3522;share;1;0003330301727ffe;None; shopping_kart_baby
resistance3522;tof92130;share;1;0003330301727ffe;None; shopping_kart_baby
antoinne92;jmifaure;share;1;0003330301727ffe;None; shopping_kart_baby
jechu00;jmifaure;share;1;0003330301727ffe;None; shopping_kart_baby
jmifaure;tof92130;share;1;0003330301727ffe;None; shopping_kart_baby
jmifaure;resistance3522;share;1;0003330301727ffe;None; shopping_kart_baby
Brunnin19872015;SeguinHugues;share;1;00047e780001ffff;None; merchandising_belly
SeguinHugues;mg12gm;share;3;00047e780001ffff;None; merchandising_belly
Brunnin19872015;mg12gm;share;1;00047e780001ffff;None; merchandising_belly
Maleblanc16;SeguinHugues;share;1;00047e780001ffff;None; merchandising_belly
Brunnin19872015;Maleblanc16;share;1;00047e780001ffff;None; merchandising_belly
Maleblanc16;mg12gm;share;1;00047e780001ffff;None; merchandising_belly
362Yra;JeanMarcVILLER;share;1;0010131adbdfeefa;None; shopping_kart_baby
JeanMarcVILLER;isabelledacrew;share;1;0010131adbdfeefa;None; shopping_kart_baby
Chezladuparc;SeguinHugues;share;1;001c3e7e10181ff7;None; merchandising_belly
M_LE_GAULOIS;SeguinHugues;share;1;001c3e7e10181ff7;None; merchandising_belly
Chezladuparc;M_LE_GAULOIS;share;1;001c3e7e10181ff7;None; merchandising_belly
Chezladuparc;mg12gm;share;1;001c3e7e10181ff7;None; merchandising_belly
M_LE_GAULOIS;mg12gm;share;1;001c3e7e10181ff7;None; merchandising_belly
Barberis888;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;Foulisou;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
wvonpikkendorf;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
jeanclaudepeyra;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
jeanclaudepeyra;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
lollimeur;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
lollimeur;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
jeanclaudepeyra;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
nathalielavi;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;nathalielavi;share;2;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
nathalielavi;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
jeanclaudepeyra;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
lollimeur;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;Frugheon_D;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;Frugheon_D;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
