real_text;created_at;from_user_name;sha1;category;average_hash;image
"RT @Kontre_Kulture: L'#illustration du jour ✏ 

👉L'ALMANACH POUR TOUS - VOLUME 5 (2017-2018) 
https://t.co/a5PgmxbzpF
#GPA #LREM #societe h…";2019-11-13 14:35:04;VincentDAlessa3;7e219bf657845fcc1cedfdf614d4b3ad512d36b8;shopping_kart_baby;ffff97140505ffff;https://ceres.huma-num.fr/images/marchandisation/7e219bf657845fcc1cedfdf614d4b3ad512d36b8.jpg
"RT @Kontre_Kulture: L'#illustration du jour ✏ 

👉L'ALMANACH POUR TOUS - VOLUME 5 (2017-2018) 
https://t.co/a5PgmxbzpF
#GPA #LREM #societe h…";2019-11-13 09:55:37;jwanayamijnouna;7e219bf657845fcc1cedfdf614d4b3ad512d36b8;shopping_kart_baby;ffff97140505ffff;https://ceres.huma-num.fr/images/marchandisation/7e219bf657845fcc1cedfdf614d4b3ad512d36b8.jpg
"RT @Kontre_Kulture: L'#illustration du jour ✏ 

👉L'ALMANACH POUR TOUS - VOLUME 5 (2017-2018) 
https://t.co/a5PgmxbzpF
#GPA #LREM #societe h…";2019-11-19 04:36:02;OnNaQuUneMaman;7e219bf657845fcc1cedfdf614d4b3ad512d36b8;shopping_kart_baby;ffff97140505ffff;https://ceres.huma-num.fr/images/marchandisation/7e219bf657845fcc1cedfdf614d4b3ad512d36b8.jpg
RT @LaManifPourTous: #MarchonsEnfants à #ClermontFerrand : Toutes les études d’opinion qui posent la question de l’enfant, premier concerné…;2020-10-10 14:53:17;Irishprolifer;8d491030a001e15247ea6c85ec525df03881a1cd;shopping_kart_baby;3f0f0800009f3f1f;https://ceres.huma-num.fr/images/marchandisation/8d491030a001e15247ea6c85ec525df03881a1cd.jpg
RT @LaManifPourTous: #MarchonsEnfants à #ClermontFerrand : Toutes les études d’opinion qui posent la question de l’enfant, premier concerné…;2020-10-10 14:05:03;turenne1611;8d491030a001e15247ea6c85ec525df03881a1cd;shopping_kart_baby;3f0f0800009f3f1f;https://ceres.huma-num.fr/images/marchandisation/8d491030a001e15247ea6c85ec525df03881a1cd.jpg
RT @LaManifPourTous: #MarchonsEnfants à #ClermontFerrand : Toutes les études d’opinion qui posent la question de l’enfant, premier concerné…;2020-10-10 16:29:59;GuilhanduVP;8d491030a001e15247ea6c85ec525df03881a1cd;shopping_kart_baby;3f0f0800009f3f1f;https://ceres.huma-num.fr/images/marchandisation/8d491030a001e15247ea6c85ec525df03881a1cd.jpg
RT @LaManifPourTous: #MarchonsEnfants à #ClermontFerrand : Toutes les études d’opinion qui posent la question de l’enfant, premier concerné…;2020-10-10 15:04:38;lmpt63;8d491030a001e15247ea6c85ec525df03881a1cd;shopping_kart_baby;3f0f0800009f3f1f;https://ceres.huma-num.fr/images/marchandisation/8d491030a001e15247ea6c85ec525df03881a1cd.jpg
RT @LaManifPourTous: #MarchonsEnfants à #ClermontFerrand : Toutes les études d’opinion qui posent la question de l’enfant, premier concerné…;2020-10-10 15:36:25;Etienne_Muller_;8d491030a001e15247ea6c85ec525df03881a1cd;shopping_kart_baby;3f0f0800009f3f1f;https://ceres.huma-num.fr/images/marchandisation/8d491030a001e15247ea6c85ec525df03881a1cd.jpg
RT @LaManifPourTous: #MarchonsEnfants à #ClermontFerrand : Toutes les études d’opinion qui posent la question de l’enfant, premier concerné…;2020-10-10 15:54:05;kzaty;8d491030a001e15247ea6c85ec525df03881a1cd;shopping_kart_baby;3f0f0800009f3f1f;https://ceres.huma-num.fr/images/marchandisation/8d491030a001e15247ea6c85ec525df03881a1cd.jpg
RT @LaManifPourTous: #MarchonsEnfants à #ClermontFerrand : Toutes les études d’opinion qui posent la question de l’enfant, premier concerné…;2020-10-10 15:19:34;Chacha78180;8d491030a001e15247ea6c85ec525df03881a1cd;shopping_kart_baby;3f0f0800009f3f1f;https://ceres.huma-num.fr/images/marchandisation/8d491030a001e15247ea6c85ec525df03881a1cd.jpg
