source;target;weight;sha1;average_hash
BrunoBalmokoun;joel_ger;1;5d5415ecf34a575ae96f143506ce51e738e3146f;00003e7e3804dfff
Jo_aN_;cwo85;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
PSchydlowski;cwo85;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
Jo_aN_;PSchydlowski;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
MBrancourt;cwo85;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
Jo_aN_;MBrancourt;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
MBrancourt;PSchydlowski;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
cwo85;descoursdenis;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
Jo_aN_;descoursdenis;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
PSchydlowski;descoursdenis;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
MBrancourt;descoursdenis;1;a0ba79553e4ff2cca699f690a6d98489598c21c6;00003fffffff0f0f
LToutes;Mathieulandau;1;cd936d5fa9151aea88b8952f18a7d77f9358c531;0000bfffffffffff
gcc_paris;undefined;1;fb70309d61e59923be0739d74ee6bf988ddb7382;0000ffffffff0000
MANUE_G;fberrberr;1;5c298ff6c835eb34482ef903d8c145a4bc4e925c;000100107fffffff
SizzleAddict;maellevie;1;c392acfaeb6ce1f92d9f0dcc3404917ced900cd4;00113919111931ff
flashmarmotte;maellevie;1;c392acfaeb6ce1f92d9f0dcc3404917ced900cd4;00113919111931ff
SizzleAddict;flashmarmotte;1;c392acfaeb6ce1f92d9f0dcc3404917ced900cd4;00113919111931ff
eric_brochard;francoisvi;1;3621fe0f5f13a548a18dd3a84d31268ade4d5eb0;00181818181e181f
undefined;vio_Official;2;ff5ffccc6b7774ad2422fbe3686efcbce3f9c967;003fffffffffff00
ManifPOUTOUS;vio_Official;3;d05c720bd160747ab22fd73ada387b47a9ea8657;003fffffffffff00
ManifPOUTOUS;undefined;6;d05c720bd160747ab22fd73ada387b47a9ea8657;003fffffffffff00
OplurielLgbt;vio_Official;1;ba829eb9ff4a4aca69a0c01f39504f4fb4f391eb;003fffffffffff00
OplurielLgbt;undefined;2;ba829eb9ff4a4aca69a0c01f39504f4fb4f391eb;003fffffffffff00
