source;target;weight;sha1;average_hash
MichelJanva;TrinitBeaujola1;1;466a3d7195e3089bc388334cb877791413e591a1;00000000f3e13f3f
La_dy_bird;Nations241;1;e0eea973c81ec7ca922f4e31839e3c9d1ce1e089;00000000ffffffff
Nations241;ljb2369;1;e775fcf443798d55de6f89344b4ac3375a46a9bd;00000000ffffffff
La_dy_bird;ljb2369;1;e775fcf443798d55de6f89344b4ac3375a46a9bd;00000000ffffffff
Nations241;notyourgem;1;ebbc763df6eca48bdb7ec882e6347f0a037aef0a;00000000ffffffff
La_dy_bird;notyourgem;1;ebbc763df6eca48bdb7ec882e6347f0a037aef0a;00000000ffffffff
ljb2369;notyourgem;1;ebbc763df6eca48bdb7ec882e6347f0a037aef0a;00000000ffffffff
Nations241;lmpt69;1;91a4913688ea55890a0d47e358331032a09dbaee;00000000ffffffff
La_dy_bird;lmpt69;1;91a4913688ea55890a0d47e358331032a09dbaee;00000000ffffffff
ljb2369;lmpt69;1;91a4913688ea55890a0d47e358331032a09dbaee;00000000ffffffff
lmpt69;notyourgem;1;91a4913688ea55890a0d47e358331032a09dbaee;00000000ffffffff
GenerationsLGBT;JeremyMullor;1;e1debfeb99a2c50d3af4198a1d6a8393c007b7f0;000000ffff000000
FORCENIORTAISE;JeremyMullor;1;37d167fdf9103c0744a28e5d099362d29a20b5f8;000000ffff000000
FORCENIORTAISE;GenerationsLGBT;1;37d167fdf9103c0744a28e5d099362d29a20b5f8;000000ffff000000
JeremyMullor;jjalmad;1;c5641ec9ce837b655733ee4f604a1c7bcf72f175;000000ffff000000
GenerationsLGBT;jjalmad;1;c5641ec9ce837b655733ee4f604a1c7bcf72f175;000000ffff000000
FORCENIORTAISE;jjalmad;1;c5641ec9ce837b655733ee4f604a1c7bcf72f175;000000ffff000000
InformateurDab;notyourgem;1;c6dfc19a5a1ad63b0db839664313f4b9e9dae25a;000000ffffffff00
Boursorama;orangenewsfr;1;f711d812144f91f4a46811853416b8e5502f1b01;000002f6370fff1f
marcellinegold1;orangenewsfr;1;f0e06892d1de747f094c55006b9f588379bafc4c;000002f6370fff1f
Boursorama;marcellinegold1;1;f0e06892d1de747f094c55006b9f588379bafc4c;000002f6370fff1f
24matins;orangenewsfr;1;3a7dbdb3b4d618eb4837ee93efe53b56b1efcdf4;000002f6370fff1f
24matins;Boursorama;2;3a7dbdb3b4d618eb4837ee93efe53b56b1efcdf4;000002f6370fff1f
24matins;marcellinegold1;1;3a7dbdb3b4d618eb4837ee93efe53b56b1efcdf4;000002f6370fff1f
FiLGBTI;JillRoyerFI;1;d6dd08947fe6e3cdc88f71ed2dfeb92260fa272c;00000e3e3c7e7e00
Sentinelles_fr;jylegis2017;1;190fcee667dbff65e725bbdfbb53f833a0d88c30;00000f400064ffff
News_Actu;lobs;2;a48c8d0c5f2e0d3c609ac726c75517f10799b4d4;0000183c7f9f1b18
AFCdu56;frantztoussaint;1;2c10631a11c1686e57328dced21613a4dfecc067;00003e7effff0000
