source;target;edge_type;weight
"Moreau2157_GBOOKSph0";"Moreau2157_GBOOKSph1";"precedence";"1"
"Moreau2157_GBOOKSph1";"Moreau2157_GBOOKSph2";"precedence";"1"
"Moreau2157_GBOOKSph2";"Moreau2157_GBOOKSph3";"precedence";"1"
"Moreau2157_GBOOKSph3";"Moreau2157_GBOOKSph4";"precedence";"1"
"Moreau2157_GBOOKSph4";"Moreau2157_GBOOKSph5";"precedence";"1"
"Moreau2157_GBOOKSph5";"Moreau2157_GBOOKSph6";"precedence";"1"
"Moreau2157_GBOOKSph6";"Moreau2157_GBOOKSph7";"precedence";"1"
"Moreau2160_GBOOKSph0";"Moreau2160_GBOOKSph1";"precedence";"1"
"Moreau2160_GBOOKSph1";"Moreau2160_GBOOKSph2";"precedence";"1"
"Moreau2160_GBOOKSph2";"Moreau2160_GBOOKSph3";"precedence";"1"
"Moreau2160_GBOOKSph3";"Moreau2160_GBOOKSph4";"precedence";"1"
"Moreau2160_GBOOKSph4";"Moreau2160_GBOOKSph5";"precedence";"1"
"Moreau2160_GBOOKSph5";"Moreau2160_GBOOKSph6";"precedence";"1"
"Moreau2160_GBOOKSph6";"Moreau2160_GBOOKSph7";"precedence";"1"
"Moreau2160_GBOOKSph7";"Moreau2160_GBOOKSph8";"precedence";"1"
"Moreau2160_GBOOKSph8";"Moreau2160_GBOOKSph9";"precedence";"1"
"Moreau2132_GALLph0";"Moreau2132_GALLph1";"precedence";"1"
"Moreau2132_GALLph1";"Moreau2132_GALLph2";"precedence";"1"
"Moreau2132_GALLph2";"Moreau2132_GALLph3";"precedence";"1"
"Moreau2132_GALLph3";"Moreau2132_GALLph4";"precedence";"1"
"Moreau2132_GALLph4";"Moreau2132_GALLph5";"precedence";"1"
"Moreau2132_GALLph5";"Moreau2132_GALLph6";"precedence";"1"
"Moreau2132_GALLph6";"Moreau2132_GALLph7";"precedence";"1"
"Moreau2132_GALLph7";"Moreau2132_GALLph8";"precedence";"1"
"Moreau2132_GALLph8";"Moreau2132_GALLph9";"precedence";"1"
"Moreau2132_GALLph9";"Moreau2132_GALLph10";"precedence";"1"
"Moreau2132_GALLph10";"Moreau2132_GALLph11";"precedence";"1"
"Moreau2132_GALLph11";"Moreau2132_GALLph12";"precedence";"1"
"Moreau2132_GALLph12";"Moreau2132_GALLph13";"precedence";"1"
"Moreau2132_GALLph13";"Moreau2132_GALLph14";"precedence";"1"
"Moreau2132_GALLph14";"Moreau2132_GALLph15";"precedence";"1"
"Moreau2132_GALLph15";"Moreau2132_GALLph16";"precedence";"1"
"Moreau2132_GALLph16";"Moreau2132_GALLph17";"precedence";"1"
"Moreau2132_GALLph17";"Moreau2132_GALLph18";"precedence";"1"
"Moreau2132_GALLph18";"Moreau2132_GALLph19";"precedence";"1"
"Moreau2132_GALLph19";"Moreau2132_GALLph20";"precedence";"1"
"Moreau2132_GALLph20";"Moreau2132_GALLph21";"precedence";"1"
"Moreau2132_GALLph21";"Moreau2132_GALLph22";"precedence";"1"
"Moreau2132_GALLph22";"Moreau2132_GALLph23";"precedence";"1"
"Moreau2132_GALLph23";"Moreau2132_GALLph24";"precedence";"1"
"Moreau2132_GALLph24";"Moreau2132_GALLph25";"precedence";"1"
"Moreau2132_GALLph25";"Moreau2132_GALLph26";"precedence";"1"
"Moreau2132_GALLph26";"Moreau2132_GALLph27";"precedence";"1"
"Moreau2132_GALLph27";"Moreau2132_GALLph28";"precedence";"1"
"Moreau2132_GALLph28";"Moreau2132_GALLph29";"precedence";"1"
"Moreau2132_GALLph29";"Moreau2132_GALLph30";"precedence";"1"
"Moreau2132_GALLph30";"Moreau2132_GALLph31";"precedence";"1"
"Moreau2132_GALLph31";"Moreau2132_GALLph32";"precedence";"1"
"Moreau2132_GALLph32";"Moreau2132_GALLph33";"precedence";"1"
"Moreau2132_GALLph33";"Moreau2132_GALLph34";"precedence";"1"
"Moreau2132_GALLph34";"Moreau2132_GALLph35";"precedence";"1"
"Moreau2132_GALLph35";"Moreau2132_GALLph36";"precedence";"1"
"Moreau2132_GALLph36";"Moreau2132_GALLph37";"precedence";"1"
"Moreau2132_GALLph37";"Moreau2132_GALLph38";"precedence";"1"
"Moreau2132_GALLph38";"Moreau2132_GALLph39";"precedence";"1"
"Moreau2132_GALLph39";"Moreau2132_GALLph40";"precedence";"1"
"Moreau2132_GALLph40";"Moreau2132_GALLph41";"precedence";"1"
"Moreau2132_GALLph41";"Moreau2132_GALLph42";"precedence";"1"
"Moreau2132_GALLph42";"Moreau2132_GALLph43";"precedence";"1"
"Moreau2132_GALLph43";"Moreau2132_GALLph44";"precedence";"1"
"Moreau2132_GALLph44";"Moreau2132_GALLph45";"precedence";"1"
"Moreau2132_GALLph45";"Moreau2132_GALLph46";"precedence";"1"
"Moreau2132_GALLph46";"Moreau2132_GALLph47";"precedence";"1"
"Moreau2132_GALLph47";"Moreau2132_GALLph48";"precedence";"1"
"Moreau2132_GALLph48";"Moreau2132_GALLph49";"precedence";"1"
"Moreau2132_GALLph49";"Moreau2132_GALLph50";"precedence";"1"
"Moreau2132_GALLph50";"Moreau2132_GALLph51";"precedence";"1"
"Moreau2132_GALLph51";"Moreau2132_GALLph52";"precedence";"1"
"Moreau2132_GALLph52";"Moreau2132_GALLph53";"precedence";"1"
"Moreau2132_GALLph53";"Moreau2132_GALLph54";"precedence";"1"
"Moreau2132_GALLph54";"Moreau2132_GALLph55";"precedence";"1"
"Moreau2132_GALLph55";"Moreau2132_GALLph56";"precedence";"1"
"Moreau2132_GALLph56";"Moreau2132_GALLph57";"precedence";"1"
"Moreau2132_GALLph57";"Moreau2132_GALLph58";"precedence";"1"
"Moreau2132_GALLph58";"Moreau2132_GALLph59";"precedence";"1"
"Moreau2132_GALLph59";"Moreau2132_GALLph60";"precedence";"1"
"Moreau2132_GALLph60";"Moreau2132_GALLph61";"precedence";"1"
"Moreau2132_GALLph61";"Moreau2132_GALLph62";"precedence";"1"
"Moreau2132_GALLph62";"Moreau2132_GALLph63";"precedence";"1"
"Moreau2132_GALLph63";"Moreau2132_GALLph64";"precedence";"1"
"Moreau2132_GALLph64";"Moreau2132_GALLph65";"precedence";"1"
"Moreau2132_GALLph65";"Moreau2132_GALLph66";"precedence";"1"
"Moreau2132_GALLph66";"Moreau2132_GALLph67";"precedence";"1"
"Moreau2132_GALLph67";"Moreau2132_GALLph68";"precedence";"1"
