id;id_text;label;text
"Moreau2157_GBOOKSph0";"Moreau2157_GBOOKS";"Lettre du roi écrite à Son Altesse Royale, de Bourges, le 7 octobre 1651.";"null"
"Moreau2157_GBOOKSph1";"Moreau2157_GBOOKS";"";" ttrd e lettre dv rooy"
"Moreau2157_GBOOKSph2";"Moreau2157_GBOOKS";"";" ai e i ioe p eeone le ueue auec priuilege de ſa majeſte"
"Moreau2157_GBOOKSph3";"Moreau2157_GBOOKS";"";" 3 aſ6u 3 res lettredvroy, escrite a son altesse royale"
"Moreau2157_GBOOKSph4";"Moreau2157_GBOOKS";"";" e on oncle, ie n’ay ſl pas voulu demeurer ſs plus long-temps ſans ſ vous donner part de 8 l’heureux ſucces de mon oane, &amp,eomnme le ſuis nure de lanle &amp, dela tour de fourues e plabiansaantobugenon conſenle puaede courn &amp,eur qu eſoien ute luy, de ſe retirer, apres auoirt fait ledemiers eeoro pou les pgonrer du, lebeion cela lenmpedne pas que eneſois toujours dans lesmeſes ſen a ij 1 1 1 1 4 timens que ievous ay temoignez, &amp, que ie ne ſouhaitte que vous puiſſiez remettre mon couſin le prince de conde dans ſon deuoir, vous aſſeurant que voſtre entremiſe me ſera toujours tresagreable, &amp, que i’approuueray toutes les choſes que vous ferez ſurce ſujet pour le bien de mon ſeruice: eſtant tres-perſuade de l’affection que vous auez pour moy, qui prie dieu, mon oncle, qu’il vous ayt en ſa ſainte &amp, digne garde"
"Moreau2157_GBOOKSph5";"Moreau2157_GBOOKS";"";" eſcrite a bourges ce 7"
"Moreau2157_GBOOKSph6";"Moreau2157_GBOOKS";"";" voſtre bien bon &amp, aſfectionne et plus bas, a i"
"Moreau2157_GBOOKSph7";"Moreau2157_GBOOKS";"";" nepueu, lov1s, d loeie"
"Moreau2160_GBOOKSph0";"Moreau2160_GBOOKS";"Lettre du roi écrite à Son Altesse Royale, de Poitiers, le 16 novembre 1651.";"null"
"Moreau2160_GBOOKSph1";"Moreau2160_GBOOKS";"";" ou lrnsss nove lr a d"
"Moreau2160_GBOOKSph2";"Moreau2160_GBOOKS";"";"  n „, 9 oeo -sol b 2"
"Moreau2160_GBOOKSph3";"Moreau2160_GBOOKS";"";" 1 a t a us r pv o 1ttre sc a son altesse royale"
"Moreau2160_GBOOKSph4";"Moreau2160_GBOOKS";"";" ouoeel ee auir o le dernr eeon dnuer r o eu ſne e iſ le ueon deeer ne gpge e de nouiles anure e eie e oſ ſl n ere rouare ernne le ne"
"Moreau2160_GBOOKSph5";"Moreau2160_GBOOKS";"";" le nulerare qpe v oune donener lſennue erel u rauo reu e unen euein ie eoner deoenee ee enloſeunoneli en nr a re u e leu dunres oan le rene e deilee eie ee e enſene eounnue non pa oue a ij ai enuie qui e ſte noununele, en aruinereuni r poe tnrs lounr l ooie iou ii eonelnue, le oue re eene ou oies le noaſoue ionnmeonr pe oue ouil y aneuaieſperer de i dut nire eue e nie oeeie nre e eſern ede paroie de ene ſe oe ouone eſonuer le r oniel rouoſepor ſper senouſiere ſoeoeou e penen oeb enunennurnnulie onenr eue er dere le ouiee ſou or oe eon de nue adueoe enune one oeſue lone olonue ennonne e eonen dut poiai elie ens e ere onidiurie nuede e ide ue ne oe ee ene reu preieene e oundl noaſaine de ierne ee ae eiee a deunle re erert uembre, a6r"
"Moreau2160_GBOOKSph6";"Moreau2160_GBOOKS";"";" ps buas, ’nſte bienioneſecmnenpe, e ore"
