id;date_collected;date_deleted;deletion_time;delete_reason;corpus;text;username;user_bio;user_created;picture1;picture2;picture3;picture4
1516333213446201346;19/04/22-08:29;19/04/22-10:34;2:04:16;deleted;LGBT_1;"Je préfère un fils gay qu’un fils hetero qui fait du shirk, qui fornique et qui commet annulatif sur annulatif donc sah tant qu’il reste accroché à son Tawhid c’est léger mais wAllah j’serai dégoûté de lui. https://t.co/HSlDTWoLUC";KolaF_11;"Juste un homme avec ses contradictions et ses paradoxes qui aspire à la piété.";2022-03-26T14:44:35.000Z;;;;
1516333619056365570;19/04/22-08:31;19/04/22-10:39;2:07:39;deleted;LGBT_1;"@F_Desouche on avance dans l'absurdité de l'être humain";memesois1;"";2009-07-21T01:26:45.000Z;;;;
1516334077128888323;19/04/22-08:33;19/04/22-11:09;2:35:50;deleted;LGBT_insults_1;"☠️ ta perdu moi pour une pute c’est quoi ce que ta gagner au final 😂";_stvs_;"";2015-03-27T15:23:22.000Z;;;;
1516334994632941570;19/04/22-08:36;19/04/22-11:14;2:37:11;deleted;LGBT_1;"@_gemmo @Kenpashi_82 @Margueritestern Bah c'est les femmes qui ont des utérus c'est tout &gt;&lt;.
Si t'es une femme qui se prend pour un mec avec barbe et tout le bordel et que tu vas pas te faire depiste parce que 'gneu gneu gneu y'a pas marsue trans' bah ecoute : sélection naturelle crève en silence.";abhoutv;"";2020-03-17T17:10:22.000Z;;;;
1516334900248559620;19/04/22-08:36;19/04/22-11:24;2:47:33;deleted;LGBT_insults_1;"mon prof i veut que j’le cogne enft ce fils de pute";slmmlabess;"cette dunia ma eu";2022-02-03T17:49:36.000Z;;;;
1516335084214833158;19/04/22-08:37;19/04/22-11:34;2:56:50;protected_account;LGBT_1;"vous parlez pas de maltraitance ici hein mdrrr le lavage de cerveau aux enfants et leur imposer une vision aussi PERVERSE dès le plus jeune âge ça vous dérange pas 

Mais inculquer les valeurs de l’Islam à un enfant, le faire grandir dans un environnement sain et respectueux.. https://t.co/HIhlqu7rhI";Lazone_78;"204cm";2020-07-05T23:54:03.000Z;https://ceres.huma-num.fr/lgbt/97c8667f9f2d0981f58954cfb9d5c39f70b73cd3.jpg;https://ceres.huma-num.fr/lgbt/cb89b9f70f4c2772208817689fee1ae41fda9a9d.jpg;https://ceres.huma-num.fr/lgbt/54d427c69502bbb5bb242ce8e8c9ea56387a7abc.jpg;
1516336250944434176;19/04/22-08:41;19/04/22-11:34;2:52:11;deleted;LGBT_1;"@InesPresso @MaudLeRest non.
Je parle de ce que je veux qu'en je veux et je t'emmerde.
je suis pour l'avortement sans être une meuf
je suis pour le mariage gay sans être gay.
ne pas etre quelque chose n'empêche pas d'avoir un avis dessus.
Sauf pour les personne limitée évidemment.";abhoutv;"";2020-03-17T17:10:22.000Z;;;;
1516335327572602884;19/04/22-08:38;19/04/22-11:34;2:55:52;deleted;LGBT_1;"RT @Lazone_78: Mdrrrrrr ils font la même chose avec la communauté LGBT et ramènent leurs enfants dans des manifs pour tous bondés de perver…";bwkuy;"~طرود عزازلة~                               عربية";2021-12-19T15:56:57.000Z;;;;
1516334018932920325;19/04/22-08:32;19/04/22-11:34;3:01:04;protected_account;LGBT_1;"Mdrrrrrr ils font la même chose avec la communauté LGBT et ramènent leurs enfants dans des manifs pour tous bondés de pervers, ils disent rien.

Par contre dire à son enfant que l’être humain ne vient pas de nul part et qu’il y’a un créateur = maltraitance https://t.co/yJTeaUmHIB";Lazone_78;"204cm";2020-07-05T23:54:03.000Z;;;;
1516336413670842378;19/04/22-08:42;19/04/22-11:34;2:51:33;protected_account;LGBT_1;"@bwkuy (les lgbt oui)";Lazone_78;"204cm";2020-07-05T23:54:03.000Z;;;;
1516336507887497218;19/04/22-08:42;19/04/22-11:39;2:56:10;deleted;LGBT_insults_1;"Vivement ça ferme ça me prend trop pour sa pute ici, ca laisse le bordel du week end je dois tous ranger en arrivant nsm heureusement j’tape du cash";Drew2sg;"2SG / BFP ig:drew2sg 🇨🇱";2012-07-23T12:02:43.000Z;;;;
1516336874129960960;19/04/22-08:44;19/04/22-11:44;2:59:43;deleted;LGBT_1;"Mdr votre Aickel est une arnaque mdrrrr, déjà il est pire que la trans #etsionserencontrait #aickel https://t.co/olERt762wE";corey_rth;"🇵🇸🇵🇸🇵🇸";2019-04-11T21:44:39.000Z;;;;
1516336973560135683;19/04/22-08:44;19/04/22-11:44;2:59:19;deleted;LGBT_insults_1;"RT @Jirayalecochon: Je sors du ciné, ça devient de plus en plus compliquer de vraiment profiter d'un film puisqu'il y a toujours un fils de…";pxteapxte;"🕊";2012-05-12T11:17:42.000Z;;;;
